designation,ra,dec,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,r_min,t_yrs
Gaia DR3 3320184202856435840,89.10409822,5.359344709,123.1988532,0.017005328,1026.4637,-444.6846044,0.017798543,-925.139652,0.015032777,13.9694195,0.83092594,-414.01544,10.4149475,1.60E+05,1.92E+04
Gaia DR3 5544743925212648320,123.1124176,-35.4954976,89.50642598,0.015485769,71.69701,-65.4794499,0.016051292,-29.20449376,0.017759077,14.346308,0.6834936,-373.73666,8.178549,2.34E+04,2.92E+04
Gaia DR3 4197774664320263936,286.0485436,-12.74986065,0.593279223,0.025235243,0.013841121,0.005626955,0.024449421,0.012645711,0.021036059,14.697744,1.0519457,-148.02856,9.139693,2.60E+05,1.11E+07
Gaia DR3 1129149723913123456,176.939408,78.69329745,190.3251427,0.019362431,889.55194,748.4182886,0.023584152,480.8043,0.025972635,9.551337,2.701994,-111.504585,0.15323243,2.15E+05,4.61E+04
Gaia DR3 4084338599419600384,289.5682528,-18.41330342,0.429718396,0.022470076,0.001629149,0.00156912,0.025515286,4.38E-04,0.020733219,14.284772,1.2576103,-105.67451,4.3415613,8.16E+04,2.15E+07
Gaia DR3 4312544849139966464,286.4877172,10.95833082,19.0706259,0.020272521,8.459679,0.953053156,0.020477528,-8.405822974,0.019178575,13.814394,2.653469,-97.68652,4.53258,2.33E+05,5.25E+05
Gaia DR3 1952802469918554368,326.5928819,38.21751708,141.8946057,0.021211391,201.00949,161.4536764,0.017373964,-119.7394023,0.019083459,10.830858,2.814188,-82.91139,0.17733116,1.18E+05,8.31E+04
Gaia DR3 4593677465371834880,264.2173592,24.7878957,2.857238094,0.027494382,0.16304837,0.113484864,0.022482764,0.117072453,0.027294299,12.031286,0.81193924,-81.611496,0.70380145,2.39E+05,4.19E+06
Gaia DR3 1132123559268892288,146.4240617,78.80555097,4.837983639,0.012870867,0.3773366,0.374214173,0.01530059,-0.048442208,0.014917352,13.64163,1.4146824,-77.260735,2.1494477,2.04E+05,2.62E+06
Gaia DR3 5965628764355799552,258.4288713,-42.57448128,1.124767273,0.018668609,0.020823905,0.013633464,0.025631953,-0.015740511,0.018602679,14.114739,1.0586329,-75.31202,5.264813,2.14E+05,1.15E+07
Gaia DR3 1938879392834628992,354.4139902,45.66054306,1.621407639,0.012172016,0.042446904,-6.88E-04,0.010557607,0.042441329,0.009992574,13.22267,0.79939556,-69.60435,2.3015978,2.27E+05,8.66E+06
Gaia DR3 6050341389317043712,244.283673,-23.53788541,2.733814896,0.024186915,0.0769762,-0.019919013,0.029617498,0.074354345,0.021241268,14.424671,1.3072453,-67.24365,6.4546356,1.50E+05,5.32E+06
Gaia DR3 3295253979286613376,73.83928731,11.74478826,9.332112604,0.021374073,0.6739736,0.260689867,0.02617019,-0.621515264,0.019970087,14.326151,2.354063,-61.63266,1.8852242,1.23E+05,1.70E+06
Gaia DR3 239604478711410048,48.84017545,42.07173647,4.464254918,0.025787931,0.23366767,-0.203978372,0.029510815,0.113988618,0.024517752,11.342435,0.8329582,-59.66143,1.2535826,1.92E+05,3.67E+06
Gaia DR3 2732027223812601728,341.6114983,13.6690705,1.930284707,0.025157647,0.031557452,0.020292923,0.025767164,0.024167542,0.021774413,14.389059,1.4649477,-59.341167,5.68382,1.40E+05,8.54E+06
Gaia DR3 1944080701313080064,358.5254295,51.05144728,1.83777847,0.0154742,0.037796516,-0.03181891,0.012031651,-0.020399349,0.011557695,13.560461,0.8586798,-53.273388,3.1634433,2.05E+05,9.99E+06
Gaia DR3 2048495990544659968,294.2387241,36.46603035,4.856475033,0.024367515,0.33980265,0.138385732,0.025208656,0.310346959,0.028356625,12.423434,1.2201328,-52.53939,1.2971629,2.68E+05,3.83E+06
Gaia DR3 1820499678857308800,299.7163474,17.65463738,2.286035215,0.012737935,0.035326004,-0.005281623,0.011839545,0.034928944,0.011673202,12.518217,0.78505135,-48.13606,1.3250527,1.37E+05,8.89E+06
Gaia DR3 4362243496226418304,261.2294011,-5.369848336,6.663249094,0.017770978,0.571608,0.471230642,0.0200617,0.323538874,0.01371728,12.712979,1.5408716,-48.0115,0.6974398,2.62E+05,3.06E+06
Gaia DR3 6630242174207032960,275.9998378,-63.31590776,1.470732473,0.014923599,0.02072316,8.75E-04,0.008988405,-0.020704683,0.010223512,12.452887,0.6658611,-47.72273,2.1662426,1.96E+05,1.39E+07
Gaia DR3 956782825081401728,95.41667462,40.2520791,2.989914127,0.02084737,0.02053651,0.017325855,0.018530818,-0.01102556,0.015324226,14.010474,1.2600164,-44.325287,2.1532762,5.07E+04,7.38E+06
Gaia DR3 4489676137969788160,268.1425664,10.43166717,5.079610359,0.013163624,0.27653137,0.229023723,0.012482598,0.154976562,0.011300975,13.259858,1.3752899,-42.14798,1.1242456,2.49E+05,4.57E+06
Gaia DR3 2149827879807091584,271.2676909,55.18704634,5.429664054,0.011521069,0.14433436,0.099646711,0.014555529,-0.104417157,0.016243355,13.923556,1.7209558,-33.38061,1.7649468,1.43E+05,5.40E+06
Gaia DR3 4306481867124380672,288.5418433,7.764088687,9.755774283,0.025668267,0.5426925,-0.52307748,0.024455445,0.144585914,0.022384018,7.215036,0.20176315,-33.20782,0.18897563,1.68E+05,3.02E+06
Gaia DR3 3260079227925564160,62.25854304,2.760644053,32.11152459,0.027104093,6.1367607,-3.614895991,0.02957095,-4.959068507,0.020177746,11.732741,2.126585,-32.70663,0.3688173,1.78E+05,9.31E+05
Gaia DR3 4591145358813373312,272.1102825,30.91030508,6.142891894,0.014688083,0.2008946,-0.162183358,0.014519713,-0.118554603,0.01521075,14.199904,1.905796,-32.21422,2.7762294,1.62E+05,4.94E+06
Gaia DR3 4493986116173277824,262.6530708,12.69262355,1.488524222,0.015066749,0.002582492,9.08E-04,0.015425399,-0.002417533,0.013452248,13.091713,0.87091064,-29.651764,1.8839794,3.84E+04,2.22E+07
Gaia DR3 2074935023255435520,302.5434926,42.48617477,2.315642594,0.017676927,0.035098217,-0.009830429,0.019526392,-0.033693435,0.022331491,11.353207,0.57231903,-28.091537,1.1105174,2.28E+05,1.50E+07
Gaia DR3 4454410779977796736,238.6678153,8.58033537,12.4961501,0.029610528,1.1021252,0.982302968,0.024030276,-0.499760771,0.022415666,6.249247,0.24854279,-26.294743,0.6192364,2.63E+05,2.98E+06
Gaia DR3 394136371230286976,5.612005463,48.64928281,3.264886823,0.011535587,0.07400276,0.001368608,0.009813811,0.073990101,0.008221257,12.489277,0.9392843,-25.409115,0.6382736,2.67E+05,1.18E+07
Gaia DR3 3448378118967198208,85.09645591,32.56978876,7.458379783,0.023715928,0.3046295,-0.252191326,0.020724673,0.17087621,0.014019458,8.992445,0.5706816,-25.069372,0.30474192,2.14E+05,5.23E+06
Gaia DR3 2104533154705749888,283.043626,41.84623357,2.789635276,0.008627277,0.03581563,-0.013371218,0.009844974,-0.033226041,0.010202511,12.451006,0.8385477,-24.765942,1.6967996,1.82E+05,1.42E+07
Gaia DR3 2026319223312827520,293.4189109,29.04018989,9.854810784,0.011876215,0.5604831,-0.549751977,0.009199636,0.109151633,0.011817879,9.137912,0.6947832,-22.81628,0.20614235,2.47E+05,4.35E+06
Gaia DR3 4270814637616488064,274.9618363,-1.93861276,52.39629221,0.0171099,0.42803693,-0.41406374,0.019432956,-0.108475077,0.016565036,9.063088,1.6937246,-14.419985,0.2563099,1.06E+04,1.29E+06
